media_movil_6m,lag_3,vix,oro_return,eurusd,lag_12,lag_6,volatilidad_3m,inflacion_usa,sp500_return,tipos_fed,curva10Y2Y,activo_return,target,tipos_fed_lag1,tipos_fed_lag3,tipos_fed_lag6,inflacion_usa_lag1,inflacion_usa_lag3,inflacion_usa_lag6,vix_lag1,vix_lag2,vix_lag3,curva10Y2Y_lag1,curva10Y2Y_lag3
1.9683196345965068,-0.08424519352813076,13.079999923706055,-0.045136186770427966,1.2782983779907227,-0.07419445864799334,0.06001227707038881,0.1375032883346341,0.041817243159525175,8.659650459597046e-05,4.99,-0.01,-0.04182714488326522,0.18665980765830748,4.94,4.59,4.16,0.03977272727272729,0.03417918177110302,0.03338549817423053,16.440000534057617,11.59000015258789,11.390000343322754,0.08,0.04
1.930616279443105,0.12228903530041624,14.949999809265137,0.03374085119320491,1.277400255203247,0.1586512973619778,0.05035428392056707,0.172252742352114,0.041046690610569536,0.0050858788034533475,5.24,0.02,0.18665980765830748,-0.0016189344257208083,4.99,4.79,4.29,0.041817243159525175,0.03613835828600931,0.04018789144050117,13.079999923706055,16.440000534057617,11.59000015258789,-0.01,0.2
1.9274203181266785,-0.15087340445398634,12.3100004196167,-0.013087334647132187,1.2809016704559326,0.09941462588276728,-0.09296813082141486,0.12197805293759277,0.03926568077511483,0.02127419311502643,5.25,-0.05,-0.0016189344257208083,0.13456177195760843,5.24,4.94,4.49,0.041046690610569536,0.03977272727272729,0.0363825363825363,14.949999809265137,13.079999923706055,16.440000534057617,0.02,0.08
1.9986323118209839,-0.04182714488326522,11.979999542236328,-0.04361726755591999,1.2690999507904053,0.1433142947324746,-0.08424519352813076,0.0972182037443588,0.02012072434607637,0.024566297967782313,5.25,-0.07,0.13456177195760843,0.05326056519791811,5.25,4.99,4.59,0.03926568077511483,0.041817243159525175,0.03417918177110302,12.3100004196167,14.949999809265137,13.079999923706055,-0.05,-0.01
2.0520164569218955,0.18665980765830748,11.100000381469727,0.03308874242897919,1.2766989469528198,0.07424003312859262,0.12228903530041624,0.0685162152226092,0.014063284781516971,0.03150800358539563,5.25,-0.1,0.05326056519791811,0.1304882682849371,5.25,5.24,4.79,0.02012072434607637,0.041046690610569536,0.03613835828600931,11.979999542236328,12.3100004196167,14.949999809265137,-0.07,0.02
2.211269716421763,-0.0016189344257208083,10.90999984741211,0.046075049619350716,1.325100064277649,0.17763430412931647,-0.15087340445398634,0.04580865598124807,0.01968702675416467,0.016466656343095964,5.25,-0.16,0.1304882682849371,-0.07440512955982548,5.25,5.25,4.94,0.014063284781516971,0.03926568077511483,0.03977272727272729,11.100000381469727,11.979999542236328,12.3100004196167,-0.1,-0.05
2.3489497900009155,0.13456177195760843,11.5600004196167,-0.01808627572340671,1.3198009729385376,0.06001227707038881,-0.04182714488326522,0.10347620678401245,0.025239777889954462,0.012615782814670462,5.24,-0.11,-0.07440512955982548,0.010490631371820713,5.25,5.25,4.99,0.01968702675416467,0.02012072434607637,0.041817243159525175,10.90999984741211,11.100000381469727,11.979999542236328,-0.16,-0.07
2.4376903772354126,0.05326056519791811,10.420000076293945,0.026448342994510377,1.3023037910461426,0.05035428392056707,0.18665980765830748,0.10294661040985227,0.020757651781234232,0.014059043023177953,5.25,-0.11,0.010490631371820713,-0.013064467131296165,5.24,5.25,5.24,0.025239777889954462,0.014063284781516971,0.041046690610569536,11.5600004196167,10.90999984741211,11.100000381469727,-0.11,-0.1
2.521387219429016,0.1304882682849371,15.420000076293945,0.02668715400929833,1.322891354560852,-0.09296813082141486,-0.0016189344257208083,0.04382695091079879,0.02420260782347028,-0.021846175991944383,5.26,-0.09,-0.013064467131296165,0.09809667312312786,5.25,5.25,5.25,0.020757651781234232,0.01968702675416467,0.03926568077511483,10.420000076293945,11.5600004196167,10.90999984741211,-0.11,-0.16
2.60093891620636,-0.07440512955982548,14.640000343322754,-0.009560836839921816,1.3358982801437378,-0.08424519352813076,0.13456177195760843,0.05857539346785899,0.027981972959439272,0.009979982939206433,5.26,0.07,0.09809667312312786,0.07415809629109749,5.26,5.24,5.25,0.02420260782347028,0.025239777889954462,0.02012072434607637,15.420000076293945,10.420000076293945,11.5600004196167,-0.09,-0.11
2.69442355632782,0.010490631371820713,14.220000267028809,-0.0016546003016590927,1.3652063608169556,0.12228903530041624,0.05326056519791811,0.058505883085065644,0.025929247633283525,0.043290690426759815,5.25,0.03,0.07415809629109749,0.21432856369927533,5.26,5.25,5.25,0.027981972959439272,0.020757651781234232,0.014063284781516971,14.640000343322754,15.420000076293945,10.420000076293945,0.07,-0.11
2.841891566912333,-0.013064467131296165,13.050000190734863,-0.0013642482357687502,1.3456052541732788,-0.15087340445398634,0.1304882682849371,0.07497851667986383,0.02709885742672613,0.032549228707361655,5.25,-0.02,0.21432856369927533,0.0070135919367197985,5.25,5.26,5.25,0.025929247633283525,0.02420260782347028,0.01968702675416467,14.220000267028809,14.640000343322754,15.420000076293945,0.03,-0.09
3.0276620388031006,0.09809667312312786,16.229999542236328,-0.01951592195773444,1.3536012172698975,-0.04182714488326522,-0.07440512955982548,0.10577936307501205,0.02692765113974227,-0.01781632254788501,5.25,0.16,0.0070135919367197985,0.07964604077902648,5.25,5.26,5.24,0.02709885742672613,0.027981972959439272,0.025239777889954462,13.050000190734863,14.220000267028809,14.640000343322754,-0.02,0.07
3.2575279474258423,0.07415809629109749,23.520000457763672,0.018239099653716506,1.3672035932540894,0.18665980765830748,0.010490631371820713,0.10519375149527886,0.023178905864958077,-0.03198187836198829,5.26,0.22,0.07964604077902648,0.0510018903546019,5.25,5.25,5.25,0.02692765113974227,0.025929247633283525,0.020757651781234232,16.229999542236328,13.050000190734863,14.220000267028809,0.16,0.03
