media_movil_12m,oro_return,volatilidad_3m,vix,curva10Y2Y,inflacion_usa,lag_3,lag_12,lag_2,sp500_return,tipos_fed,activo_return,target,tipos_fed_lag1,tipos_fed_lag3,tipos_fed_lag6,inflacion_usa_lag1,inflacion_usa_lag3,inflacion_usa_lag6,vix_lag1,vix_lag2,vix_lag3,curva10Y2Y_lag1,curva10Y2Y_lag3
1.0937655220429103,0.009071863112013467,0.12101488664316543,12.600000381469727,0.18,0.03646934460887952,0.10260684863598102,0.06648167553450213,-0.07419538189344477,-0.011222104598600069,3.5,0.09941430155911424,0.14331383019650845,3.26,3.0,2.5,0.03067160232681121,0.02869287991498415,0.030530262453133394,11.569999694824219,12.039999961853027,13.289999961853027,0.26,0.4
1.1791688054800034,0.08114341447107298,0.030745205866417227,11.920000076293945,0.16,0.04741833508956805,-0.07419538189344477,0.12351312172995899,0.15865249022593897,0.00694902431673361,3.62,0.14331383019650845,0.07424033739111668,3.5,3.04,2.63,0.03646934460887952,0.02541026998411855,0.032068412613575736,12.600000381469727,11.569999694824219,12.039999961853027,0.18,0.28
1.257474958896637,-0.00831555201809031,0.03495722265582522,15.319999694824219,0.17,0.04350104821802936,0.15865249022593897,0.35225815773561053,0.09941430155911424,-0.01774077993231349,3.78,0.07424033739111668,0.17763477429654717,3.62,3.26,2.79,0.04741833508956805,0.03067160232681121,0.03361792956243326,11.920000076293945,12.600000381469727,11.569999694824219,0.16,0.26
1.3430279791355133,0.06342721912034177,0.05266163086986835,12.0600004196167,0.07,0.03338549817423053,0.09941430155911424,0.27957986108604294,0.14331383019650845,0.035186096519093324,4.0,0.17763477429654717,0.06001129252959703,3.78,3.5,3.0,0.04350104821802936,0.03646934460887952,0.02869287991498415,15.319999694824219,11.920000076293945,12.600000381469727,0.17,0.18
1.4420393705368042,0.04549124384303549,0.0641978176727246,12.069999694824219,-0.02,0.03338549817423053,0.14331383019650845,-0.03952259018309168,0.07424033739111668,-0.0009523493171964548,4.16,0.06001129252959703,0.050354948416763134,4.0,3.62,3.04,0.03338549817423053,0.04741833508956805,0.02541026998411855,12.0600004196167,15.319999694824219,11.920000076293945,0.07,0.16
1.5344899495442708,0.03175807792245822,0.07086216964478034,12.949999809265137,-0.01,0.04018789144050117,0.07424033739111668,0.19409949429572348,0.17763477429654717,0.025466771341108085,4.29,0.050354948416763134,-0.09296770719672853,4.16,3.78,3.26,0.03338549817423053,0.04350104821802936,0.03067160232681121,12.069999694824219,12.0600004196167,15.319999694824219,-0.02,0.17
1.5934377908706665,0.05262743548413118,0.08567107928096884,12.34000015258789,-0.14,0.0363825363825363,0.17763477429654717,0.1667103381206223,0.06001129252959703,0.0004531577283561905,4.49,-0.09296770719672853,-0.08424624631678612,4.29,4.0,3.5,0.04018789144050117,0.03338549817423053,0.03646934460887952,12.949999809265137,12.069999694824219,12.0600004196167,-0.01,0.07
1.6459494928518932,0.03596868426847033,0.08034812704276618,11.390000343322754,0.04,0.03417918177110302,0.06001129252959703,-0.07111048380439033,0.050354948416763134,0.011095810408889628,4.59,-0.08424624631678612,0.12229015509499197,4.49,4.16,3.62,0.0363825363825363,0.03338549817423053,0.04741833508956805,12.34000015258789,12.949999809265137,12.069999694824219,-0.14,-0.02
1.7315897941589355,0.12031626240753579,0.1218395777695744,11.59000015258789,0.2,0.03613835828600931,0.050354948416763134,-0.13462899167662457,-0.09296770719672853,0.01215565291784415,4.79,0.12229015509499197,-0.15087402208338063,4.59,4.29,3.78,0.03417918177110302,0.04018789144050117,0.04350104821802936,11.390000343322754,12.34000015258789,12.949999809265137,0.04,-0.01
1.7815070847670238,-0.014268161962474157,0.142428469359926,16.440000534057617,0.08,0.03977272727272729,-0.09296770719672853,0.10260684863598102,-0.08424624631678612,-0.030916916538203165,4.94,-0.15087402208338063,-0.04182671813898031,4.79,4.49,4.0,0.03613835828600931,0.0363825363825363,0.03338549817423053,11.59000015258789,11.390000343322754,12.34000015258789,0.2,-0.14
