oro_return,precio,inflacion_usa,volatilidad_6m,lag_3,tipos_ecb,eurusd,activo_return,desempleo,sp500_return,vix,tipos_fed,curva10Y2Y,target
0.00036206398448723753,1.1913291215896606,0.02869287991498415,0.13624033754229922,0.16671110847598958,1.0,1.2307995557785034,0.10260746281830624,5.1,0.02995204663120865,13.289999961853027,3.0,0.4,-0.07419483663183002
0.001706269722869358,1.1029386520385742,0.02541026998411855,0.14076291355898432,-0.07111071970107152,1.0,1.2091021537780762,-0.07419483663183002,5.0,-0.00014271417986777557,12.039999961853027,3.04,0.28,0.15865196300955886
-0.013764625106704731,1.2779220342636108,0.03067160232681121,0.1330606418370278,-0.13462965116512216,1.0,1.2124004364013672,0.15865196300955886,5.0,0.03596828690361842,11.569999694824219,3.26,0.26,0.09941392652808245
0.009071863112013467,1.4049652814865112,0.03646934460887952,0.12098113526778885,0.10260746281830624,1.0,1.234095573425293,0.09941392652808245,4.9,-0.011222104598600069,12.600000381469727,3.5,0.18,0.1433147432953299
0.08114341447107298,1.6063175201416016,0.04741833508956805,0.12266273985885304,-0.07419483663183002,1.0,1.2028049230575562,0.1433147432953299,5.0,0.00694902431673361,11.920000076293945,3.62,0.16,0.0742394228976706
-0.00831555201809031,1.7255696058273315,0.04350104821802936,0.0834216472880309,0.15865196300955886,1.0,1.1988970041275024,0.0742394228976706,5.0,-0.01774077993231349,15.319999694824219,3.78,0.17,0.17763540174811587
0.06342721912034177,2.0320918560028076,0.03338549817423053,0.09195454422006905,0.09941392652808245,1.0,1.1804981231689453,0.17763540174811587,5.0,0.035186096519093324,12.0600004196167,4.0,0.07,0.060011303251790826
0.04549124384303549,2.1540403366088867,0.03338549817423053,0.0478921612044969,0.1433147432953299,1.25,1.184399127960205,0.060011303251790826,4.9,-0.0009523493171964548,12.069999694824219,4.16,-0.02,0.050354854062669485
0.03175807792245822,2.2625067234039307,0.04018789144050117,0.05025334525987669,0.0742394228976706,1.25,1.2148454189300537,0.050354854062669485,4.7,0.025466771341108085,12.949999809265137,4.29,-0.01,-0.09296821660587584
0.05262743548413118,2.0521655082702637,0.0363825363825363,0.09382280313559214,0.17763540174811587,1.25,1.1930042505264282,-0.09296821660587584,4.8,0.0004531577283561905,12.34000015258789,4.49,-0.14,-0.08424553227766884
0.03596868426847033,1.8792797327041626,0.03417918177110302,0.10318657718553605,0.060011303251790826,1.5,1.2115044593811035,-0.08424553227766884,4.7,0.011095810408889628,11.390000343322754,4.59,0.04,0.12228932006329907
0.12031626240753579,2.109095573425293,0.03613835828600931,0.10893321119110959,0.050354854062669485,1.5,1.2624987363815308,0.12228932006329907,4.7,0.01215565291784415,11.59000015258789,4.79,0.2,-0.15087334793246543
-0.014268161962474157,1.7908892631530762,0.03977272727272729,0.10777471512966559,-0.09296821660587584,1.5,1.2816076278686523,-0.15087334793246543,4.6,-0.030916916538203165,16.440000534057617,4.94,0.08,-0.04182734179196956
-0.045136186770427966,1.715981125831604,0.041817243159525175,0.10124925240853956,-0.08424553227766884,1.75,1.2782983779907227,-0.04182734179196956,4.6,8.659650459597046e-05,13.079999923706055,4.99,-0.01,0.18665983359283866
0.03374085119320491,2.036285877227783,0.041046690610569536,0.13373840355629454,0.12228932006329907,1.75,1.277400255203247,0.18665983359283866,4.7,0.0050858788034533475,14.949999809265137,5.24,0.02,-0.0016189346152738482
-0.013087334647132187,2.032989263534546,0.03926568077511483,0.12747935599791124,-0.15087334793246543,2.0,1.2809016704559326,-0.0016189346152738482,4.7,0.02127419311502643,12.3100004196167,5.25,-0.05,0.13456213956297525
-0.04361726755591999,2.3065526485443115,0.02012072434607637,0.1281163850796769,-0.04182734179196956,2.0,1.2690999507904053,0.13456213956297525,4.5,0.024566297967782313,11.979999542236328,5.25,-0.07,0.05326034745574981
0.03308874242897919,2.4294004440307617,0.014063284781516971,0.12238519182548992,0.18665983359283866,2.25,1.2766989469528198,0.05326034745574981,4.4,0.03150800358539563,11.100000381469727,5.25,-0.1,0.13048797386837063
0.046075049619350716,2.746407985687256,0.01968702675416467,0.08839010096580817,-0.0016189346152738482,2.25,1.325100064277649,0.13048797386837063,4.5,0.016466656343095964,10.90999984741211,5.25,-0.16,-0.07440506212633269
-0.01808627572340671,2.5420613288879395,0.025239777889954462,0.09765813020750215,0.13456213956297525,2.5,1.3198009729385376,-0.07440506212633269,4.4,0.012615782814670462,11.5600004196167,5.24,-0.11,0.01049091470804564
0.026448342994510377,2.568729877471924,0.020757651781234232,0.08120361852346844,0.05326034745574981,2.5,1.3023037910461426,0.01049091470804564,4.6,0.014059043023177953,10.420000076293945,5.25,-0.11,-0.013064837181690714
0.02668715400929833,2.535169839859009,0.02420260782347028,0.08256003185159,0.13048797386837063,2.5,1.322891354560852,-0.013064837181690714,4.5,-0.021846175991944383,15.420000076293945,5.26,-0.09,0.09809698293272451
-0.009560836839921816,2.783862352371216,0.027981972959439272,0.07524443063280772,-0.07440506212633269,2.75,1.3358982801437378,0.09809698293272451,4.4,0.009979982939206433,14.640000343322754,5.26,0.07,0.07415818193418922
-0.0016546003016590927,2.9903085231781006,0.025929247633283525,0.07677436939826647,0.01049091470804564,2.75,1.3652063608169556,0.07415818193418922,4.5,0.043290690426759815,14.220000267028809,5.25,0.03,0.2143287060716237
-0.0013642482357687502,3.6312174797058105,0.02709885742672613,0.10089623036816021,-0.013064837181690714,2.75,1.3456052541732788,0.2143287060716237,4.4,0.032549228707361655,13.050000190734863,5.25,-0.02,0.007013327923111712
-0.01951592195773444,3.656684398651123,0.02692765113974227,0.08474194219980459,0.09809698293272451,3.0,1.3536012172698975,0.007013327923111712,4.6,-0.01781632254788501,16.229999542236328,5.25,0.16,0.07964630677502327
0.018239099653716506,3.9479258060455322,0.023178905864958077,0.08040969016211041,0.07415818193418922,3.0,1.3672035932540894,0.07964630677502327,4.7,-0.03198187836198829,23.520000457763672,5.26,0.22,0.05100169994192205
0.01981944749980924,4.1492767333984375,0.01897448478900876,0.06963854776538296,0.2143287060716237,3.0,1.3642005920410156,0.05100169994192205,4.6,0.012863572018857905,23.3799991607666,5.02,0.39,0.10824653767371384
0.10371469211436657,4.598421573638916,0.028338264299802685,0.07007302498306657,0.007013327923111712,3.0,1.427001714706421,0.10824653767371384,4.7,0.03579400817860079,18.0,4.94,0.62,0.23770175190999954
0.06623588181956741,5.691474437713623,0.03610698365527476,0.09161201401374147,0.07964630677502327,3.0,1.4471989870071411,0.23770175190999954,4.7,0.014822338223554832,18.530000686645508,4.76,0.54,-0.0406950903606913
-0.012373721960819095,5.459859371185303,0.04373267326732666,0.09609773475248398,0.05100169994192205,3.0,1.469594120979309,-0.0406950903606913,4.7,-0.04404341737941575,22.8700008392334,4.49,0.93,0.08703742438421136
0.06737408768165909,5.9350714683532715,0.04108813392417532,0.0903529506634703,0.10824653767371384,3.0,1.4601097106933594,0.08703742438421136,5.0,-0.008628508561297932,22.5,4.24,0.99,-0.3166395203501766
0.1051622771895202,4.055793285369873,0.04294695655165981,0.18848836032349287,0.23770175190999954,3.0,1.4865025281906128,-0.3166395203501766,5.0,-0.06116343227776988,26.200000762939453,3.94,1.5,-0.07638924404643288
0.053538487835006254,3.74597430229187,0.04142959270611968,0.19159689509345904,-0.0406950903606913,3.0,1.519202709197998,-0.07638924404643288,4.9,-0.03476119273728817,26.540000915527344,2.98,1.88,0.14781677794746662
-0.05750433575025271,4.299692153930664,0.03974903550134434,0.19668660696071996,0.08703742438421136,3.0,1.5757957696914673,0.14781677794746662,5.1,-0.005959623397817415,25.610000610351562,2.61,1.83,0.21219486336417392
-0.05828424329031312,5.212064743041992,0.039037609759888126,0.19087921438244437,-0.3166395203501766,3.0,1.5622069835662842,0.21219486336417392,5.0,0.047546697641229096,20.790000915527344,2.28,1.48,0.08508208047725563
0.028395920661369756,5.655518054962158,0.04088413823123993,0.19212596070995344,-0.07638924404643288,3.0,1.555790662765503,0.08508208047725563,5.4,0.01067418170406853,17.829999923706055,1.98,1.4,-0.11290056448806751
